ID,visa_type,visa_entry,US_consulate,major,status,check_date,complete_date,waiting_days,details
MYOS,F1,Renewal,BeiJing,Optical Science,Clear,2024-01-02,2024-02-20,49,detail
wobalaba,F1,Renewal,Vancouver,Biochemistry,Clear,2024-01-02,2024-01-10,8,detail
顺利过！,F1,Renewal,BeiJing,Biomedical science,Clear,2024-01-02,2024-01-02,0,detail
嗞油美利坚,F1,Renewal,ShangHai,Plant Sciences,Clear,2024-01-02,2024-02-09,38,detail
快点吧,H1,New,BeiJing,CS,Clear,2024-01-02,2024-01-26,24,detail
TT,H1,New,ShangHai,Biostat,Clear,2024-01-02,2024-01-25,23,detail
check速速过,F1,Renewal,BeiJing,Materials Science,Clear,2024-01-02,2024-02-05,34,detail
快快issued！,F1,Renewal,HongKong,CS,Pending,2024-01-02,0000-00-00,738,detail
快过签,F1,Renewal,Others,CS,Pending,2024-01-02,0000-00-00,738,detail
下签！,J1,New,BeiJing,physic,Clear,2024-01-02,2024-01-26,24,detail
ws00289583,F1,Renewal,GuangZhou,Biostatistics,Clear,2024-01-02,2024-01-26,24,detail
没看到海龟,F1,Renewal,Others,Computer Science,Clear,2024-01-02,2024-01-26,24,detail
等的着急,J1,New,Europe,Chemistry,Clear,2024-01-02,2024-02-26,55,detail
AA00CPA3TN,L1,New,BeiJing,N/A,Pending,2024-01-02,0000-00-00,738,detail
AA00CSLDFT,L1,New,Others,N/A,Pending,2024-01-02,0000-00-00,738,detail
qwerty100987,F1,Renewal,GuangZhou,Computer Engineering,Clear,2024-01-03,2024-01-26,23,detail
尽快approve,F1,Renewal,BeiJing,ECE,Clear,2024-01-03,2024-02-02,30,detail
capybara,F1,Renewal,ShangHai,CS,Clear,2024-01-03,2024-02-02,30,detail
钵钵鸡大腿,F1,Renewal,GuangZhou,CS,Clear,2024-01-03,2024-02-01,29,detail
Dr.BIAN,H1,New,BeiJing,Civil Engineering,Clear,2024-01-03,2024-02-25,53,detail
签证快过,F1,Renewal,BeiJing,Chemistry,Clear,2024-01-03,2024-01-26,23,detail
求尽快issue,J1,Renewal,GuangZhou,Neuroscience,Clear,2024-01-03,2024-01-29,26,detail
Shikamaru,B2,New,BeiJing,Control Engineering,Clear,2024-01-03,2024-01-26,23,detail
5,F1,Renewal,Others,Environmental Engineering,Clear,2024-01-04,2024-01-29,25,detail
特求过,H1,New,ShangHai,CS,Pending,2024-01-04,0000-00-00,736,detail
煎熬ing,H1,New,ShenYang,Cancer Biology,Clear,2024-01-04,2024-01-30,26,detail
MZJ,F1,Renewal,Toronto,Engineering Science,Clear,2024-01-04,2024-05-02,119,detail
tuotuo,H1,Renewal,MexicoCity,Aircraft Design,Clear,2024-01-04,2024-02-15,42,detail
bubble,F1,Renewal,Europe,ME,Clear,2024-01-04,2024-02-12,39,detail
续签快快过,F1,Renewal,GuangZhou,Computer Science,Clear,2024-01-04,2024-02-20,47,detail
zxybazh,H1,New,ShangHai,CS,Clear,2024-01-05,2024-02-06,32,detail
Magenta5539,F1,Renewal,Vancouver,CS,Clear,2024-01-05,2024-01-18,13,detail
下签小海豚,F1,Renewal,ShangHai,CS,Pending,2024-01-05,0000-00-00,735,detail
blossom,B2,New,ShangHai,Physics,Clear,2024-01-05,2024-01-20,15,detail
caoy,J1,New,GuangZhou,Cell Physiology,Clear,2024-01-05,2024-02-20,46,detail
我想上班,H1,New,Toronto,Chemistry,Clear,2024-01-05,2024-02-17,43,detail
ycy保佑,H1,New,ShangHai,Computer Science,Clear,2024-01-05,2024-01-05,0,detail
速度出签！,H4,New,Others,Law,Pending,2024-01-05,0000-00-00,735,detail
qiuqiukuaiguoba,H1,New,Vancouver,CS,Clear,2024-01-08,2024-01-31,23,detail
求过,H1,New,BeiJing,Social Neuroscience,Clear,2024-01-08,2024-02-01,24,detail
祝大家等che,H1,New,GuangZhou,CS + Design,Pending,2024-01-08,0000-00-00,732,detail
Phoebemama,H1,New,GuangZhou,biochemistry,Clear,2024-01-08,2024-02-01,24,detail
checkeeeee,F1,Renewal,Vancouver,MS CS,Clear,2024-01-08,2024-02-14,37,detail
guguoguoguo,F1,Renewal,Vancouver,Materials Science,Clear,2024-01-08,2024-02-23,46,detail
AA00CHGP9B,H1,New,BeiJing,FINANCE,Clear,2024-01-09,2024-01-09,0,detail
markjin1990@gma,H1,New,GuangZhou,CS,Clear,2024-01-09,2024-02-02,24,detail
唉快过吧,F1,Renewal,BeiJing,Chemistry PhD,Clear,2024-01-09,2024-01-31,22,detail
去看看,B1,New,BeiJing,通信工程,Clear,2024-01-09,2024-02-20,42,detail
nomoreaps,H1,Renewal,BeiJing,ECE,Pending,2024-01-09,0000-00-00,731,detail
阿弥陀佛,H1,New,ShangHai,information systems,Clear,2024-01-09,2024-02-01,23,detail
q05146,H1,New,GuangZhou,pharmacology,Clear,2024-01-09,2024-02-08,30,detail
Vincent,B1,New,BeiJing,Chemical Safety,Clear,2024-01-09,2024-02-21,43,detail
Kuaikuaixiaqian,H1,New,GuangZhou,Computer science,Pending,2024-01-09,0000-00-00,731,detail
AA00CQ2GBH,F1,New,GuangZhou,chemical engineering,Clear,2024-01-09,2024-02-07,29,detail
20230110,O1,Renewal,Others,Design,Pending,2024-01-10,0000-00-00,730,detail
不想再国内,F1,Renewal,GuangZhou,ME(Simulation),Pending,2024-01-10,0000-00-00,730,detail
checkh1b,H1,New,BeiJing,环境科学,Clear,2024-01-10,2024-02-07,28,detail
RG,F1,Renewal,ShangHai,CS,Clear,2024-01-10,2024-02-21,42,detail
alex1987996,B1,New,BeiJing,Physics,Pending,2024-01-10,0000-00-00,730,detail
FishHunter,F1,Renewal,BeiJing,Materials Science,Pending,2024-01-10,0000-00-00,730,detail
快下签吧,H1,New,ShangHai,Pharmaceutics,Clear,2024-01-10,2024-02-22,43,detail
jupiter,B1,New,BeiJing,physics,Clear,2024-01-10,2024-02-16,37,detail
FishHunter,F1,Renewal,BeiJing,Materials Science,Clear,2024-01-10,2024-02-16,37,detail
Nyarlathotep,B1,New,BeiJing,Physics,Pending,2024-01-10,0000-00-00,730,detail
nature and scie,H1,New,BeiJing,Mechanical Engineering,Clear,2024-01-10,2024-02-21,42,detail
Calgry-H1B-rene,H1,Renewal,Others,N/A,Pending,2024-01-11,0000-00-00,729,detail
zxcndy,H1,New,Others,Information Systems Manag,Pending,2024-01-11,0000-00-00,729,detail
Consultantcheck,H1,New,GuangZhou,Biomedical Engineering,Clear,2024-01-11,2024-02-28,48,detail
AA00CNZQPV,F1,New,Europe,Dentistry,Clear,2024-01-11,2024-02-09,29,detail
wup11,F1,Renewal,BeiJing,ECE,Clear,2024-01-11,2024-02-15,35,detail
rgfish,H1,New,GuangZhou,Analytics + Applied Psych,Clear,2024-01-11,2024-02-15,35,detail
还没接到电,B1,New,ShenYang,Food Sci&Tech,Pending,2024-01-11,0000-00-00,729,detail
求下签!!,F1,New,GuangZhou,N/A,Pending,2024-01-11,0000-00-00,729,detail
求节前下签,H1,Renewal,GuangZhou,ECE,Clear,2024-01-11,2024-02-07,27,detail
戒糖寿司侠,H4,New,Ottawa,statistics,Clear,2024-01-11,2024-01-11,0,detail
h1-guangzhou-ne,H1,New,GuangZhou,CS,Clear,2024-01-11,2024-03-01,50,detail
????,H1,Renewal,BeiJing,CS,Clear,2024-01-11,2024-02-21,41,detail
bughu,H1,New,GuangZhou,ECE,Clear,2024-01-11,2024-02-23,43,detail
1,J1,New,BeiJing,biomadical,Clear,2024-01-11,2024-01-11,0,detail
Fatcheckee,H1,Renewal,Ottawa,DS,Pending,2024-01-12,0000-00-00,728,detail
Zjjjjjjy,F1,Renewal,Vancouver,Computer Science MS,Clear,2024-01-12,2024-02-09,28,detail
猪猪求快下,B2,New,GuangZhou,Biophysics,Clear,2024-01-12,2024-02-08,27,detail
求顺利！！,H1,New,GuangZhou,Material Engineering,Clear,2024-01-16,2024-02-20,35,detail
ttotm,F1,New,ShangHai,ME,Pending,2024-01-16,0000-00-00,724,detail
